Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.002190292, 0, 0, 0, 0, 1, 0, 0, 0
0.002207875, 1, 0, 0, 0, 1, 0, 0, 0
0.002216667, 0, 0, 0, 0, 1, 0, 0, 0
0.002234292, 1, 0, 0, 0, 1, 0, 0, 0
0.002243083, 0, 0, 0, 0, 1, 0, 0, 0
0.002260667, 1, 0, 0, 0, 1, 0, 0, 0
0.002269458, 0, 0, 0, 0, 1, 0, 0, 0
0.002287042, 1, 0, 0, 0, 1, 0, 0, 0
0.002295833, 0, 0, 0, 0, 1, 0, 0, 0
0.002313458, 1, 0, 0, 0, 1, 0, 0, 0
0.002322250, 0, 0, 0, 0, 1, 0, 0, 0
0.002339833, 1, 0, 0, 0, 1, 0, 0, 0
0.002348625, 0, 0, 0, 0, 1, 0, 0, 0
0.002366250, 1, 0, 0, 0, 1, 0, 0, 0
0.002375042, 0, 0, 0, 0, 1, 0, 0, 0
0.002392625, 1, 0, 0, 0, 1, 0, 0, 0
0.002401417, 0, 0, 0, 0, 1, 0, 0, 0
0.002419000, 1, 0, 0, 0, 1, 0, 0, 0
0.002427792, 0, 0, 0, 0, 1, 0, 0, 0
0.002445417, 1, 0, 0, 0, 1, 0, 0, 0
0.002454208, 0, 0, 0, 0, 1, 0, 0, 0
0.002471792, 1, 0, 0, 0, 1, 0, 0, 0
0.002480583, 0, 0, 0, 0, 1, 0, 0, 0
0.002498208, 1, 0, 0, 0, 1, 0, 0, 0
0.002507000, 0, 0, 0, 0, 1, 0, 0, 0
0.002524583, 1, 0, 0, 0, 1, 0, 0, 0
0.002533375, 0, 0, 0, 0, 1, 0, 0, 0
0.002550958, 1, 0, 0, 0, 1, 0, 0, 0
0.002559750, 0, 0, 0, 0, 1, 0, 0, 0
0.002577375, 1, 0, 0, 0, 1, 0, 0, 0
0.002586167, 0, 0, 0, 0, 1, 0, 0, 0
0.002603750, 1, 0, 0, 0, 1, 0, 0, 0
0.002612542, 0, 0, 0, 0, 1, 0, 0, 0
0.002636125, 1, 0, 0, 0, 1, 0, 0, 0
0.002644917, 0, 0, 0, 0, 1, 0, 0, 0
0.002662500, 1, 0, 0, 0, 1, 0, 0, 0
0.002671292, 0, 0, 0, 0, 1, 0, 0, 0
0.002688917, 1, 0, 0, 0, 1, 0, 0, 0
0.002697708, 0, 0, 0, 0, 1, 0, 0, 0
0.002715292, 1, 0, 0, 0, 1, 0, 0, 0
0.002724083, 0, 0, 0, 0, 1, 0, 0, 0
